date,elec,gas
2016-06-04,40.962729946524064,NA
2016-06-05,37.398988524955435,NA
2016-06-06,48.999873997326205,NA
2016-06-07,48.28423663101604,NA
2016-06-08,48.43848094919786,NA
2016-06-09,48.475572860962565,NA
2016-06-10,45.74244986631016,NA
2016-06-11,42.28818181818182,NA
2016-06-12,39.56277462121212,NA
2016-06-13,43.69017338022165,NA
2016-06-14,39.75643460338681,NA
2016-06-15,39.929698640819964,NA
2016-06-16,39.3005004456328,NA
2016-06-17,37.84403676470588,NA
2016-06-18,29.94105926916221,NA
2016-06-19,27.795170677361853,NA
2016-06-20,38.6997486631016,NA
2016-06-21,42.83951325757576,NA
2016-06-22,42.398911430481284,NA
2016-06-23,41.55653821301248,NA
2016-06-24,41.23873975044563,NA
2016-06-25,35.4876889483066,NA
